customer_id,first_name,last_name,email,state,customer_type,business_segment,active
1,Thomas,Smith,thomas.smith251@email.com,GA,buyer,,1
2,Jessica,Jones,jessica.jones693@email.com,GA,buyer,,1
3,William,Jackson,william.jackson31@email.com,TX,buyer,,1
4,William,Miller,william.miller617@email.com,MO,buyer,,1
5,Michael,Moore,michael.moore666@email.com,MO,buyer,,1
6,Betty,Davis,betty.davis285@email.com,TX,buyer,,1
7,John,Clark,john.clark715@email.com,VA,buyer,,1
8,Helen,Hernandez,helen.hernandez221@email.com,OK,buyer,,1
9,Joshua,Brown,joshua.brown100@email.com,KS,buyer,,1
10,Kevin,Walker,kevin.walker271@email.com,OK,buyer,,1
11,David,Harris,david.harris128@email.com,NE,buyer,,1
12,Karen,Williams,karen.williams850@email.com,IL,buyer,,1
13,Brian,Jackson,brian.jackson72@email.com,MO,buyer,,1
14,David,Thompson,david.thompson297@email.com,MO,buyer,,1
15,William,Walker,william.walker104@email.com,MO,buyer,,1
16,Karen,Rodriguez,karen.rodriguez855@email.com,TX,buyer,,1
17,Brian,Garcia,brian.garcia215@email.com,OK,buyer,,1
18,Donald,White,donald.white664@email.com,OR,buyer,,1
19,Robert,Martin,robert.martin547@email.com,WI,buyer,,1
20,Sarah,Garcia,sarah.garcia277@email.com,NE,buyer,,1
21,Jessica,Thompson,jessica.thompson787@email.com,OK,buyer,,1
22,James,Davis,james.davis825@email.com,VA,buyer,,1
23,Andrew,Gonzalez,andrew.gonzalez217@email.com,MO,buyer,,1
24,Andrew,Miller,andrew.miller406@email.com,MN,buyer,,1
25,Donna,Jones,donna.jones253@email.com,MO,buyer,,1
26,Mark,Harris,mark.harris920@email.com,OH,buyer,,1
27,Nancy,Lopez,nancy.lopez142@email.com,MO,buyer,,1
28,Ruth,Williams,ruth.williams882@email.com,GA,buyer,,1
29,Thomas,Jones,thomas.jones812@email.com,MI,buyer,,1
30,Helen,Martin,helen.martin391@email.com,KS,buyer,,1
31,Donna,Taylor,donna.taylor567@email.com,MO,buyer,,1
32,John,Thompson,john.thompson699@email.com,NC,buyer,,1
33,Donald,Clark,donald.clark115@email.com,WI,buyer,,1
34,Steven,Wilson,steven.wilson4@email.com,MO,buyer,,1
35,Mark,Taylor,mark.taylor520@email.com,FL,buyer,,1
36,Richard,Walker,richard.walker862@email.com,MI,buyer,,1
37,Elizabeth,Jones,elizabeth.jones166@email.com,TX,buyer,,1
38,John,Martin,john.martin20@email.com,OK,buyer,,1
39,Thomas,Allen,thomas.allen852@email.com,OK,buyer,,1
40,Paul,Davis,paul.davis900@email.com,KS,buyer,,1
41,William,Williams,william.williams836@email.com,GA,buyer,,1
42,Robert,Clark,robert.clark129@email.com,IL,buyer,,1
43,Mary,Thompson,mary.thompson563@email.com,NE,buyer,,1
44,Jennifer,Rodriguez,jennifer.rodriguez622@email.com,IL,buyer,,1
45,Helen,King,helen.king553@email.com,MO,buyer,,1
46,Elizabeth,White,elizabeth.white688@email.com,OK,buyer,,1
47,Brian,Anderson,brian.anderson463@email.com,WA,buyer,,1
48,Thomas,Davis,thomas.davis347@email.com,MO,buyer,,1
49,Michael,Jackson,michael.jackson603@email.com,IN,buyer,,1
50,Jessica,Smith,jessica.smith647@email.com,KS,buyer,,1
51,James,Davis,james.davis33@email.com,KS,buyer,,1
52,Joshua,Williams,joshua.williams286@email.com,IA,buyer,,1
53,Ruth,Miller,ruth.miller741@email.com,IL,buyer,,1
54,Carol,Davis,carol.davis827@email.com,FL,buyer,,1
55,Betty,Miller,betty.miller675@email.com,KS,buyer,,1
56,Helen,Lopez,helen.lopez479@email.com,TX,buyer,,1
57,James,Thompson,james.thompson662@email.com,MN,buyer,,1
58,Richard,Johnson,richard.johnson348@email.com,TX,buyer,,1
59,Richard,Davis,richard.davis550@email.com,MO,buyer,,1
60,Sandra,Jones,sandra.jones286@email.com,TX,buyer,,1
61,Donna,Davis,donna.davis78@email.com,CA,buyer,,1
62,Sandra,Lewis,sandra.lewis564@email.com,CA,buyer,,1
63,Richard,Johnson,richard.johnson554@email.com,WI,buyer,,1
64,John,Williams,john.williams870@email.com,OR,buyer,,1
65,Sarah,Garcia,sarah.garcia493@email.com,TX,buyer,,1
66,Susan,Walker,susan.walker61@email.com,TX,buyer,,1
67,Jennifer,Gonzalez,jennifer.gonzalez400@email.com,KS,buyer,,1
68,Mark,Allen,mark.allen466@email.com,FL,buyer,,1
69,Steven,Wilson,steven.wilson749@email.com,NC,buyer,,1
70,Ruth,Jones,ruth.jones223@email.com,MO,buyer,,1
71,James,Jackson,james.jackson63@email.com,GA,buyer,,1
72,Andrew,Johnson,andrew.johnson489@email.com,KS,buyer,,1
73,Jennifer,Johnson,jennifer.johnson83@email.com,NV,buyer,,1
74,Linda,Williams,linda.williams692@email.com,OH,buyer,,1
75,Sarah,Gonzalez,sarah.gonzalez912@email.com,KS,buyer,,1
76,Sarah,Jackson,sarah.jackson635@email.com,OH,buyer,,1
77,William,Wilson,william.wilson579@email.com,MN,buyer,,1
78,Andrew,Allen,andrew.allen686@email.com,MO,buyer,,1
79,Andrew,Davis,andrew.davis135@email.com,MO,buyer,,1
80,Paul,Anderson,paul.anderson770@email.com,OK,buyer,,1
81,Robert,Smith,robert.smith577@email.com,NE,buyer,,1
82,Richard,Williams,richard.williams519@email.com,IL,buyer,,1
83,Mark,Jones,mark.jones903@email.com,OR,buyer,,1
84,Robert,Young,robert.young292@email.com,MO,buyer,,1
85,Jennifer,Anderson,jennifer.anderson721@email.com,SC,buyer,,1
86,Paul,Martin,paul.martin827@email.com,AZ,buyer,,1
87,John,Thompson,john.thompson307@email.com,VA,buyer,,1
88,Richard,King,richard.king271@email.com,CA,buyer,,1
89,Thomas,Young,thomas.young567@email.com,KS,buyer,,1
90,Patricia,Rodriguez,patricia.rodriguez216@email.com,OK,buyer,,1
91,Joshua,Miller,joshua.miller874@email.com,SD,buyer,,1
92,Mark,Taylor,mark.taylor928@email.com,IA,buyer,,1
93,James,Williams,james.williams850@email.com,WI,buyer,,1
94,Donald,Johnson,donald.johnson790@email.com,KS,buyer,,1
95,Mary,Lee,mary.lee166@email.com,AZ,buyer,,1
96,Sandra,Moore,sandra.moore575@email.com,NC,buyer,,1
97,John,Brown,john.brown905@email.com,KS,buyer,,1
98,Patricia,Moore,patricia.moore379@email.com,KS,buyer,,1
99,Patricia,Wilson,patricia.wilson316@email.com,KS,buyer,,1
100,Brian,Young,brian.young996@email.com,OR,buyer,,1
101,David,Young,david.young699@email.com,OK,buyer,,1
102,Sarah,Thompson,sarah.thompson799@email.com,KS,buyer,,1
103,Betty,Martin,betty.martin948@email.com,GA,buyer,,1
104,Sarah,Walker,sarah.walker820@email.com,MO,buyer,,1
105,Linda,Young,linda.young184@email.com,TX,buyer,,1
106,Joshua,Lewis,joshua.lewis822@email.com,OR,buyer,,1
107,Sarah,Rodriguez,sarah.rodriguez719@email.com,MO,buyer,,1
108,Richard,Gonzalez,richard.gonzalez880@email.com,CA,buyer,,1
109,Carol,Davis,carol.davis941@email.com,MO,buyer,,1
110,Donna,Lopez,donna.lopez815@email.com,OK,buyer,,1
111,Jessica,Davis,jessica.davis198@email.com,KS,buyer,,1
112,Nancy,Hernandez,nancy.hernandez72@email.com,OK,buyer,,1
113,Donald,Lopez,donald.lopez410@email.com,WI,buyer,,1
114,Joshua,King,joshua.king899@email.com,KS,buyer,,1
115,Mark,Garcia,mark.garcia272@email.com,IN,buyer,,1
116,David,Brown,david.brown354@email.com,OH,buyer,,1
117,Andrew,Wilson,andrew.wilson524@email.com,OH,buyer,,1
118,Thomas,Gonzalez,thomas.gonzalez195@email.com,WA,buyer,,1
119,Mark,Johnson,mark.johnson2@email.com,NC,buyer,,1
120,Elizabeth,Lopez,elizabeth.lopez972@email.com,TX,buyer,,1
121,Joshua,Martin,joshua.martin869@email.com,OK,buyer,,1
122,Thomas,Harris,thomas.harris520@email.com,WA,buyer,,1
123,Paul,Thompson,paul.thompson413@email.com,TX,buyer,,1
124,Steven,Moore,steven.moore431@email.com,KS,buyer,,1
125,Karen,Thompson,karen.thompson179@email.com,GA,buyer,,1
126,Paul,Gonzalez,paul.gonzalez1@email.com,IL,buyer,,1
127,Paul,Martinez,paul.martinez805@email.com,MO,buyer,,1
128,Andrew,Anderson,andrew.anderson692@email.com,TX,buyer,,1
129,Susan,Taylor,susan.taylor923@email.com,NE,buyer,,1
130,Jennifer,Thompson,jennifer.thompson528@email.com,KS,buyer,,1
131,Joshua,Williams,joshua.williams770@email.com,VA,buyer,,1
132,Sarah,Thompson,sarah.thompson826@email.com,OK,buyer,,1
133,Elizabeth,Jones,elizabeth.jones251@email.com,KS,buyer,,1
134,Carol,Martin,carol.martin75@email.com,CA,buyer,,1
135,Donna,Wilson,donna.wilson590@email.com,CA,buyer,,1
136,Elizabeth,White,elizabeth.white507@email.com,NC,buyer,,1
137,Nancy,Davis,nancy.davis705@email.com,MO,buyer,,1
138,John,Young,john.young789@email.com,GA,buyer,,1
139,Richard,Clark,richard.clark181@email.com,TX,buyer,,1
140,Donna,Johnson,donna.johnson940@email.com,IN,buyer,,1
141,Thomas,Anderson,thomas.anderson476@email.com,KS,buyer,,1
142,Andrew,King,andrew.king454@email.com,GA,buyer,,1
143,Helen,Robinson,helen.robinson457@email.com,WA,buyer,,1
144,Jennifer,Harris,jennifer.harris461@email.com,CA,buyer,,1
145,Mark,Clark,mark.clark653@email.com,MO,buyer,,1
146,Donald,Clark,donald.clark497@email.com,FL,buyer,,1
147,Sarah,Rodriguez,sarah.rodriguez731@email.com,TX,buyer,,1
148,Steven,Davis,steven.davis328@email.com,OK,buyer,,1
149,William,Jones,william.jones393@email.com,MO,buyer,,1
150,Patricia,White,patricia.white425@email.com,MO,buyer,,1
151,Betty,Hernandez,betty.hernandez426@email.com,IL,buyer,,1
152,James,Miller,james.miller399@email.com,SC,buyer,,1
153,Michael,Walker,michael.walker590@email.com,CA,buyer,,1
154,Karen,Thomas,karen.thomas361@email.com,KS,buyer,,1
155,Paul,Clark,paul.clark914@email.com,TX,buyer,,1
156,Betty,Moore,betty.moore560@email.com,GA,buyer,,1
157,Jessica,Thomas,jessica.thomas447@email.com,MO,buyer,,1
158,Ruth,Smith,ruth.smith685@email.com,TX,buyer,,1
159,Nancy,Harris,nancy.harris479@email.com,MO,buyer,,1
160,Mary,Martin,mary.martin929@email.com,IL,buyer,,1
161,Nancy,Jackson,nancy.jackson28@email.com,IN,buyer,,1
162,William,Lee,william.lee888@email.com,TX,buyer,,1
163,Donna,Garcia,donna.garcia389@email.com,KS,buyer,,1
164,Andrew,Miller,andrew.miller346@email.com,NE,buyer,,1
165,Karen,Rodriguez,karen.rodriguez852@email.com,GA,buyer,,1
166,Betty,Rodriguez,betty.rodriguez482@email.com,SC,buyer,,1
167,Michael,Harris,michael.harris975@email.com,IL,buyer,,1
168,Kevin,Davis,kevin.davis800@email.com,WI,buyer,,1
169,David,Clark,david.clark254@email.com,KS,buyer,,1
170,Elizabeth,Robinson,elizabeth.robinson157@email.com,KS,buyer,,1
171,Sarah,Jones,sarah.jones118@email.com,NE,buyer,,1
172,Susan,Anderson,susan.anderson786@email.com,NC,buyer,,1
173,Brian,Garcia,brian.garcia987@email.com,OH,buyer,,1
174,Thomas,Clark,thomas.clark988@email.com,VA,buyer,,1
175,Paul,Brown,paul.brown952@email.com,IN,buyer,,1
176,Paul,Jackson,paul.jackson982@email.com,ND,buyer,,1
177,Karen,Gonzalez,karen.gonzalez204@email.com,OR,buyer,,1
178,Robert,Jackson,robert.jackson643@email.com,NC,buyer,,1
179,Sarah,Brown,sarah.brown309@email.com,NC,buyer,,1
180,Thomas,Lewis,thomas.lewis802@email.com,AZ,buyer,,1
181,David,Lopez,david.lopez678@email.com,IL,buyer,,1
182,Brian,Williams,brian.williams350@email.com,IA,buyer,,1
183,John,Walker,john.walker502@email.com,TX,buyer,,1
184,Richard,Wilson,richard.wilson651@email.com,NV,buyer,,1
185,Donna,White,donna.white181@email.com,MO,buyer,,1
186,Donald,Martin,donald.martin552@email.com,VA,buyer,,1
187,Carol,Anderson,carol.anderson749@email.com,TX,buyer,,1
188,Donald,Hernandez,donald.hernandez851@email.com,CA,buyer,,1
189,William,Rodriguez,william.rodriguez250@email.com,CA,buyer,,1
190,Donna,Jackson,donna.jackson389@email.com,OH,buyer,,1
191,Joshua,Smith,joshua.smith333@email.com,IA,buyer,,1
192,Linda,Thomas,linda.thomas817@email.com,MO,buyer,,1
193,Mark,Hernandez,mark.hernandez611@email.com,OK,buyer,,1
194,Donald,Moore,donald.moore971@email.com,KS,buyer,,1
195,Elizabeth,Williams,elizabeth.williams417@email.com,MO,buyer,,1
196,Ruth,Moore,ruth.moore708@email.com,FL,buyer,,1
197,Carol,Lee,carol.lee459@email.com,NC,buyer,,1
198,Michael,Williams,michael.williams415@email.com,OK,buyer,,1
199,Sarah,Martinez,sarah.martinez378@email.com,MN,buyer,,1
200,Carol,Moore,carol.moore436@email.com,IL,buyer,,1
201,Joshua,Lopez,joshua.lopez278@email.com,NC,buyer,,1
202,Paul,Rodriguez,paul.rodriguez739@email.com,MO,buyer,,1
203,Elizabeth,Hernandez,elizabeth.hernandez549@email.com,KS,buyer,,1
204,Linda,Miller,linda.miller496@email.com,MO,buyer,,1
205,Donald,Harris,donald.harris779@email.com,OH,buyer,,1
206,Steven,Brown,steven.brown304@email.com,SC,buyer,,1
